Navigational position (   91.2172226459,    362.797284296, 4.26325641456e-14)
Navigational position (    401.19433323,    364.371242146, 4.26325641456e-14)
Navigational position (   91.2172226459,    362.797284296, 4.26325641456e-14)
Navigational position (   89.6027585282,    365.945199995, 4.26325641456e-14)
Navigational position (   91.2172226459,    364.371242146, 4.26325641456e-14)
Navigational position (   102.518471469,    359.649368597, 4.26325641456e-14)
Navigational position (   155.795787351,    301.412928168, 4.26325641456e-14)
Navigational position (   92.8316867635,    362.797284296, 4.26325641456e-14)
Navigational position (    394.73647676,    361.223326447, 4.26325641456e-14)
Navigational position (    394.73647676,    362.797284296, 4.26325641456e-14)
Navigational position (    394.73647676,    358.075410748, 4.26325641456e-14)
Navigational position (    394.73647676,     296.69105462, 4.26325641456e-14)
Navigational position (   388.278620289,    230.584824943, 4.26325641456e-14)
Navigational position (   396.350940877,    170.774426664, 1.42108547152e-14)
Navigational position (   338.230232643,    332.892085157, 4.26325641456e-14)
Navigational position (   343.073624996,    147.165058923, 1.42108547152e-14)
Navigational position (   393.122012642,    112.537986235, 3.5527136788e-15)
